Vértice: 5794, Pai: 2028, Nível: 7353
Vértice: 4340, Pai: 5091, Nível: 7546
Vértice: 5735, Pai: 3186, Nível: 7663
Vértice: 4867, Pai: 4873, Nível: 7680
Vértice: 5546, Pai: 1995, Nível: 7699
Vértice: 1883, Pai: 594, Nível: 7710
Vértice: 7195, Pai: 5792, Nível: 8031
Vértice: 6379, Pai: 6792, Nível: 8069
Vértice: 6792, Pai: 1526, Nível: 8068
Vértice: 1526, Pai: 9408, Nível: 8067
Vértice: 8613, Pai: 7036, Nível: 8131
Vértice: 9534, Pai: 7036, Nível: 8131
Vértice: 8775, Pai: 3211, Nível: 8200
Vértice: 5731, Pai: 1336, Nível: 8208
Vértice: 4415, Pai: 4817, Nível: 8247
Vértice: 4253, Pai: 5364, Nível: 8272
Vértice: 2639, Pai: 8012, Nível: 8283
Vértice: 8554, Pai: 2807, Nível: 8350
Vértice: 2898, Pai: 242, Nível: 8363
Vértice: 9293, Pai: 6531, Nível: 8386
Vértice: 7127, Pai: 7996, Nível: 8428
Vértice: 6128, Pai: 8822, Nível: 8438
Vértice: 6166, Pai: 4473, Nível: 8462
Vértice: 7707, Pai: 4272, Nível: 8468
Vértice: 1800, Pai: 3310, Nível: 8470
Vértice: 8579, Pai: 6304, Nível: 8497
Vértice: 2228, Pai: 6140, Nível: 8514
Vértice: 5344, Pai: 3603, Nível: 8546
Vértice: 3254, Pai: 1129, Nível: 8548
Vértice: 1756, Pai: 4659, Nível: 8560
Vértice: 359, Pai: 3935, Nível: 8592
Vértice: 6522, Pai: 6761, Nível: 8593
Vértice: 9072, Pai: 3947, Nível: 8604
Vértice: 3947, Pai: 9583, Nível: 8603
Vértice: 5593, Pai: 7223, Nível: 8622
Vértice: 5007, Pai: 6988, Nível: 8649
Vértice: 6988, Pai: 4081, Nível: 8648
Vértice: 4370, Pai: 706, Nível: 8691
Vértice: 7133, Pai: 3911, Nível: 8706
Vértice: 8280, Pai: 6758, Nível: 8760
Vértice: 2739, Pai: 9203, Nível: 8762
Vértice: 5119, Pai: 5640, Nível: 8768
Vértice: 9261, Pai: 7336, Nível: 8782
Vértice: 4257, Pai: 5354, Nível: 8810
Vértice: 8116, Pai: 8009, Nível: 8811
Vértice: 8009, Pai: 5354, Nível: 8810
Vértice: 5354, Pai: 3330, Nível: 8809
Vértice: 7791, Pai: 2211, Nível: 8817
Vértice: 5912, Pai: 2872, Nível: 8837
Vértice: 7233, Pai: 7915, Nível: 8839
Vértice: 1210, Pai: 1548, Nível: 8849
Vértice: 1548, Pai: 4175, Nível: 8848
Vértice: 4175, Pai: 8541, Nível: 8847
Vértice: 3968, Pai: 4470, Nível: 8855
Vértice: 7873, Pai: 1286, Nível: 8859
Vértice: 5173, Pai: 3448, Nível: 8864
Vértice: 2742, Pai: 9411, Nível: 8882
Vértice: 1846, Pai: 3039, Nível: 8903
Vértice: 3039, Pai: 8917, Nível: 8902
Vértice: 7849, Pai: 9644, Nível: 8923
Vértice: 7979, Pai: 1246, Nível: 8944
Vértice: 7950, Pai: 3652, Nível: 8964
Vértice: 8421, Pai: 3819, Nível: 8969
Vértice: 8358, Pai: 5273, Nível: 8982
Vértice: 3717, Pai: 8901, Nível: 8985
Vértice: 8901, Pai: 9237, Nível: 8984
Vértice: 9237, Pai: 3673, Nível: 8983
Vértice: 2031, Pai: 7831, Nível: 8988
Vértice: 6248, Pai: 7234, Nível: 8993
Vértice: 7234, Pai: 499, Nível: 8992
Vértice: 2461, Pai: 3129, Nível: 9004
Vértice: 6529, Pai: 7220, Nível: 9026
Vértice: 7220, Pai: 1909, Nível: 9025
Vértice: 1909, Pai: 5906, Nível: 9024
Vértice: 7340, Pai: 5906, Nível: 9024
Vértice: 5906, Pai: 2720, Nível: 9023
Vértice: 4353, Pai: 7741, Nível: 9035
Vértice: 6625, Pai: 1120, Nível: 9064
Vértice: 1120, Pai: 4999, Nível: 9063
Vértice: 4562, Pai: 4999, Nível: 9063
Vértice: 3969, Pai: 2563, Nível: 9073
Vértice: 8598, Pai: 186, Nível: 9087
Vértice: 186, Pai: 1857, Nível: 9086
Vértice: 3433, Pai: 9505, Nível: 9090
Vértice: 9505, Pai: 9886, Nível: 9089
Vértice: 861, Pai: 1914, Nível: 9092
Vértice: 1914, Pai: 2716, Nível: 9091
Vértice: 9223, Pai: 5310, Nível: 9100
Vértice: 5231, Pai: 8615, Nível: 9102
Vértice: 1671, Pai: 4918, Nível: 9103
Vértice: 4918, Pai: 8615, Nível: 9102
Vértice: 8615, Pai: 6922, Nível: 9101
Vértice: 2773, Pai: 4665, Nível: 9105
Vértice: 2007, Pai: 4763, Nível: 9106
Vértice: 4763, Pai: 4665, Nível: 9105
Vértice: 4665, Pai: 2176, Nível: 9104
Vértice: 7138, Pai: 563, Nível: 9106
Vértice: 5304, Pai: 1652, Nível: 9110
Vértice: 1652, Pai: 317, Nível: 9109
Vértice: 3084, Pai: 1696, Nível: 9114
Vértice: 1696, Pai: 867, Nível: 9113
Vértice: 867, Pai: 2842, Nível: 9112
Vértice: 2842, Pai: 6030, Nível: 9111
Vértice: 3251, Pai: 4135, Nível: 9117
Vértice: 6132, Pai: 4135, Nível: 9117
Vértice: 1498, Pai: 8275, Nível: 9119
Vértice: 7454, Pai: 3679, Nível: 9128
Vértice: 4594, Pai: 7459, Nível: 9129
Vértice: 7459, Pai: 3679, Nível: 9128
Vértice: 3679, Pai: 9624, Nível: 9127
Vértice: 9624, Pai: 7486, Nível: 9126
Vértice: 5598, Pai: 2417, Nível: 9128
Vértice: 2820, Pai: 1921, Nível: 9147
Vértice: 6725, Pai: 3649, Nível: 9148
Vértice: 9279, Pai: 8769, Nível: 9153
Vértice: 7365, Pai: 9895, Nível: 9163
Vértice: 9895, Pai: 2077, Nível: 9162
Vértice: 776, Pai: 2077, Nível: 9162
Vértice: 2077, Pai: 1089, Nível: 9161
Vértice: 2945, Pai: 1089, Nível: 9161
Vértice: 1089, Pai: 5277, Nível: 9160
Vértice: 5277, Pai: 3109, Nível: 9159
Vértice: 5793, Pai: 5857, Nível: 9164
Vértice: 5857, Pai: 5679, Nível: 9163
Vértice: 5679, Pai: 3337, Nível: 9162
Vértice: 6299, Pai: 3337, Nível: 9162
Vértice: 3978, Pai: 59, Nível: 9178
Vértice: 59, Pai: 7450, Nível: 9177
Vértice: 3626, Pai: 8740, Nível: 9179
Vértice: 857, Pai: 8740, Nível: 9179
Vértice: 8740, Pai: 1445, Nível: 9178
Vértice: 5464, Pai: 192, Nível: 9181
Vértice: 9987, Pai: 7930, Nível: 9182
Vértice: 1983, Pai: 3585, Nível: 9183
Vértice: 9486, Pai: 7054, Nível: 9185
Vértice: 7054, Pai: 4585, Nível: 9184
Vértice: 9137, Pai: 4443, Nível: 9185
Vértice: 4641, Pai: 8698, Nível: 9194
Vértice: 8698, Pai: 9558, Nível: 9193
Vértice: 4539, Pai: 9711, Nível: 9199
Vértice: 3277, Pai: 4322, Nível: 9200
Vértice: 4322, Pai: 9711, Nível: 9199
Vértice: 9711, Pai: 8925, Nível: 9198
Vértice: 8925, Pai: 8502, Nível: 9197
Vértice: 9204, Pai: 8502, Nível: 9197
Vértice: 8502, Pai: 7263, Nível: 9196
Vértice: 7263, Pai: 5557, Nível: 9195
Vértice: 9037, Pai: 6337, Nível: 9199
Vértice: 5590, Pai: 6337, Nível: 9199
Vértice: 6337, Pai: 9402, Nível: 9198
Vértice: 1793, Pai: 6272, Nível: 9200
Vértice: 6272, Pai: 1487, Nível: 9199
Vértice: 7766, Pai: 8744, Nível: 9200
Vértice: 3058, Pai: 9743, Nível: 9205
Vértice: 9743, Pai: 2083, Nível: 9204
Vértice: 1395, Pai: 7396, Nível: 9208
Vértice: 7396, Pai: 8611, Nível: 9207
Vértice: 8611, Pai: 6483, Nível: 9206
Vértice: 6483, Pai: 325, Nível: 9205
Vértice: 1460, Pai: 7628, Nível: 9212
Vértice: 993, Pai: 7628, Nível: 9212
Vértice: 7628, Pai: 8678, Nível: 9211
Vértice: 220, Pai: 8678, Nível: 9211
Vértice: 7093, Pai: 2334, Nível: 9212
Vértice: 2334, Pai: 8678, Nível: 9211
Vértice: 6748, Pai: 7192, Nível: 9218
Vértice: 7843, Pai: 8136, Nível: 9224
Vértice: 8136, Pai: 2195, Nível: 9223
Vértice: 2195, Pai: 226, Nível: 9222
Vértice: 226, Pai: 9576, Nível: 9221
Vértice: 9576, Pai: 3950, Nível: 9220
Vértice: 3725, Pai: 5158, Nível: 9225
Vértice: 5158, Pai: 9855, Nível: 9224
Vértice: 6006, Pai: 6080, Nível: 9225
Vértice: 6080, Pai: 9855, Nível: 9224
Vértice: 9855, Pai: 988, Nível: 9223
Vértice: 988, Pai: 6562, Nível: 9222
Vértice: 7362, Pai: 6562, Nível: 9222
Vértice: 6562, Pai: 7142, Nível: 9221
Vértice: 5082, Pai: 9579, Nível: 9231
Vértice: 9579, Pai: 9314, Nível: 9230
Vértice: 9482, Pai: 42, Nível: 9231
Vértice: 42, Pai: 9314, Nível: 9230
Vértice: 9314, Pai: 5015, Nível: 9229
Vértice: 6979, Pai: 2415, Nível: 9231
Vértice: 2415, Pai: 6901, Nível: 9230
Vértice: 6901, Pai: 5015, Nível: 9229
Vértice: 5015, Pai: 8960, Nível: 9228
Vértice: 8335, Pai: 8960, Nível: 9228
Vértice: 8960, Pai: 2592, Nível: 9227
Vértice: 2592, Pai: 8636, Nível: 9226
Vértice: 8636, Pai: 3510, Nível: 9225
Vértice: 7377, Pai: 3510, Nível: 9225
Vértice: 3510, Pai: 8218, Nível: 9224
Vértice: 8244, Pai: 4607, Nível: 9227
Vértice: 8137, Pai: 8932, Nível: 9229
Vértice: 8932, Pai: 8821, Nível: 9228
Vértice: 8821, Pai: 4607, Nível: 9227
Vértice: 9931, Pai: 7748, Nível: 9231
Vértice: 7748, Pai: 8963, Nível: 9230
Vértice: 4062, Pai: 8963, Nível: 9230
Vértice: 8963, Pai: 5023, Nível: 9229
Vértice: 5023, Pai: 8681, Nível: 9228
Vértice: 8681, Pai: 4607, Nível: 9227
Vértice: 4607, Pai: 9078, Nível: 9226
Vértice: 8702, Pai: 9578, Nível: 9227
Vértice: 9578, Pai: 9078, Nível: 9226
Vértice: 9078, Pai: 4057, Nível: 9225
Vértice: 4057, Pai: 8218, Nível: 9224
Vértice: 8218, Pai: 6821, Nível: 9223
Vértice: 6821, Pai: 8714, Nível: 9222
Vértice: 961, Pai: 2404, Nível: 9224
Vértice: 7981, Pai: 2404, Nível: 9224
Vértice: 2404, Pai: 6342, Nível: 9223
Vértice: 6342, Pai: 8714, Nível: 9222
Vértice: 8714, Pai: 7142, Nível: 9221
Vértice: 8156, Pai: 7142, Nível: 9221
Vértice: 8150, Pai: 4194, Nível: 9234
Vértice: 1245, Pai: 7918, Nível: 9236
Vértice: 7918, Pai: 9670, Nível: 9235
Vértice: 9670, Pai: 4194, Nível: 9234
Vértice: 4194, Pai: 2259, Nível: 9233
Vértice: 20, Pai: 3575, Nível: 9234
Vértice: 7739, Pai: 1745, Nível: 9236
Vértice: 1745, Pai: 3382, Nível: 9235
Vértice: 3903, Pai: 3382, Nível: 9235
Vértice: 3382, Pai: 3575, Nível: 9234
Vértice: 3575, Pai: 2259, Nível: 9233
Vértice: 4789, Pai: 2259, Nível: 9233
Vértice: 8366, Pai: 7934, Nível: 9234
Vértice: 1853, Pai: 7934, Nível: 9234
Vértice: 7934, Pai: 2259, Nível: 9233
Vértice: 2259, Pai: 7715, Nível: 9232
Vértice: 7715, Pai: 9190, Nível: 9231
Vértice: 9190, Pai: 3518, Nível: 9230
Vértice: 2015, Pai: 4768, Nível: 9235
Vértice: 778, Pai: 9799, Nível: 9239
Vértice: 7927, Pai: 1133, Nível: 9240
Vértice: 5115, Pai: 1133, Nível: 9240
Vértice: 3959, Pai: 4029, Nível: 9245
Vértice: 4029, Pai: 702, Nível: 9244
Vértice: 2216, Pai: 7611, Nível: 9245
Vértice: 7611, Pai: 702, Nível: 9244
Vértice: 702, Pai: 1917, Nível: 9243
Vértice: 9668, Pai: 1917, Nível: 9243
Vértice: 1917, Pai: 9370, Nível: 9242
Vértice: 9370, Pai: 3784, Nível: 9241
Vértice: 3784, Pai: 1133, Nível: 9240
Vértice: 1133, Pai: 9799, Nível: 9239
Vértice: 9799, Pai: 7681, Nível: 9238
Vértice: 6914, Pai: 7681, Nível: 9238
Vértice: 7681, Pai: 3999, Nível: 9237
Vértice: 3999, Pai: 2588, Nível: 9236
Vértice: 713, Pai: 1093, Nível: 9238
Vértice: 2308, Pai: 1093, Nível: 9238
Vértice: 1093, Pai: 9483, Nível: 9237
Vértice: 9483, Pai: 2588, Nível: 9236
Vértice: 2588, Pai: 4768, Nível: 9235
Vértice: 5858, Pai: 4722, Nível: 9236
Vértice: 4722, Pai: 4768, Nível: 9235
Vértice: 3324, Pai: 4773, Nível: 9237
Vértice: 4314, Pai: 9130, Nível: 9240
Vértice: 9130, Pai: 2666, Nível: 9239
Vértice: 2666, Pai: 1091, Nível: 9238
Vértice: 1091, Pai: 4773, Nível: 9237
Vértice: 2000, Pai: 6365, Nível: 9239
Vértice: 2148, Pai: 3976, Nível: 9240
Vértice: 9326, Pai: 9262, Nível: 9241
Vértice: 9262, Pai: 3976, Nível: 9240
Vértice: 3976, Pai: 6365, Nível: 9239
Vértice: 6365, Pai: 9500, Nível: 9238
Vértice: 9500, Pai: 4773, Nível: 9237
Vértice: 4773, Pai: 2459, Nível: 9236
Vértice: 2459, Pai: 4768, Nível: 9235
Vértice: 4768, Pai: 6996, Nível: 9234
Vértice: 6996, Pai: 5657, Nível: 9233
Vértice: 5657, Pai: 6780, Nível: 9232
Vértice: 6780, Pai: 1342, Nível: 9231
Vértice: 1342, Pai: 3518, Nível: 9230
Vértice: 3518, Pai: 4468, Nível: 9229
Vértice: 4468, Pai: 2180, Nível: 9228
Vértice: 2180, Pai: 4351, Nível: 9227
Vértice: 2890, Pai: 4351, Nível: 9227
Vértice: 4351, Pai: 5061, Nível: 9226
Vértice: 1293, Pai: 5061, Nível: 9226
Vértice: 5061, Pai: 268, Nível: 9225
Vértice: 268, Pai: 8383, Nível: 9224
Vértice: 4932, Pai: 6236, Nível: 9231
Vértice: 6236, Pai: 6755, Nível: 9230
Vértice: 4818, Pai: 3741, Nível: 9236
Vértice: 4578, Pai: 4959, Nível: 9240
Vértice: 4959, Pai: 1848, Nível: 9239
Vértice: 9705, Pai: 1848, Nível: 9239
Vértice: 1848, Pai: 6969, Nível: 9238
Vértice: 6969, Pai: 6699, Nível: 9237
Vértice: 9176, Pai: 1180, Nível: 9240
Vértice: 1180, Pai: 3558, Nível: 9239
Vértice: 1889, Pai: 4450, Nível: 9240
Vértice: 1365, Pai: 3443, Nível: 9243
Vértice: 3443, Pai: 8534, Nível: 9242
Vértice: 8534, Pai: 2738, Nível: 9241
Vértice: 2738, Pai: 4450, Nível: 9240
Vértice: 4450, Pai: 3558, Nível: 9239
Vértice: 9226, Pai: 10000, Nível: 9244
Vértice: 1771, Pai: 2667, Nível: 9246
Vértice: 9073, Pai: 8875, Nível: 9247
Vértice: 8875, Pai: 2667, Nível: 9246
Vértice: 2667, Pai: 5284, Nível: 9245
Vértice: 5284, Pai: 10000, Nível: 9244
Vértice: 10000, Pai: 9699, Nível: 9243
Vértice: 9699, Pai: 711, Nível: 9242
Vértice: 711, Pai: 3938, Nível: 9241
Vértice: 3938, Pai: 9453, Nível: 9240
Vértice: 2332, Pai: 9453, Nível: 9240
Vértice: 9453, Pai: 3558, Nível: 9239
Vértice: 3558, Pai: 6899, Nível: 9238
Vértice: 8782, Pai: 3258, Nível: 9239
Vértice: 9340, Pai: 1177, Nível: 9243
Vértice: 1177, Pai: 686, Nível: 9242
Vértice: 686, Pai: 1268, Nível: 9241
Vértice: 1268, Pai: 9878, Nível: 9240
Vértice: 9878, Pai: 3258, Nível: 9239
Vértice: 3866, Pai: 2206, Nível: 9243
Vértice: 1225, Pai: 5407, Nível: 9245
Vértice: 2824, Pai: 585, Nível: 9250
Vértice: 1094, Pai: 5841, Nível: 9252
Vértice: 5841, Pai: 6344, Nível: 9251
Vértice: 6344, Pai: 585, Nível: 9250
Vértice: 585, Pai: 9377, Nível: 9249
Vértice: 9377, Pai: 5824, Nível: 9248
Vértice: 5824, Pai: 9473, Nível: 9247
Vértice: 8316, Pai: 3449, Nível: 9248
Vértice: 3449, Pai: 9473, Nível: 9247
Vértice: 9473, Pai: 8451, Nível: 9246
Vértice: 668, Pai: 5247, Nível: 9247
Vértice: 5247, Pai: 8451, Nível: 9246
Vértice: 8451, Pai: 5407, Nível: 9245
Vértice: 5407, Pai: 3086, Nível: 9244
Vértice: 9360, Pai: 8220, Nível: 9245
Vértice: 3867, Pai: 5616, Nível: 9247
Vértice: 5616, Pai: 7094, Nível: 9246
Vértice: 7094, Pai: 8220, Nível: 9245
Vértice: 8220, Pai: 3086, Nível: 9244
Vértice: 3086, Pai: 2206, Nível: 9243
Vértice: 2206, Pai: 7961, Nível: 9242
Vértice: 4970, Pai: 7961, Nível: 9242
Vértice: 7961, Pai: 8993, Nível: 9241
Vértice: 6584, Pai: 8993, Nível: 9241
Vértice: 8993, Pai: 3199, Nível: 9240
