Vértice: 145, Pai: -1, Nível: -1
Vértice: 146, Pai: -1, Nível: -1
Vértice: 147, Pai: -1, Nível: -1
Vértice: 148, Pai: -1, Nível: -1
Vértice: 149, Pai: -1, Nível: -1
Vértice: 150, Pai: -1, Nível: -1
Vértice: 151, Pai: -1, Nível: -1
Vértice: 152, Pai: -1, Nível: -1
Vértice: 153, Pai: -1, Nível: -1
Vértice: 154, Pai: 4943, Nível: 2
Vértice: 155, Pai: -1, Nível: -1
Vértice: 156, Pai: -1, Nível: -1
Vértice: 157, Pai: -1, Nível: -1
Vértice: 158, Pai: -1, Nível: -1
Vértice: 159, Pai: -1, Nível: -1
Vértice: 160, Pai: -1, Nível: -1
Vértice: 161, Pai: -1, Nível: -1
Vértice: 162, Pai: -1, Nível: -1
Vértice: 163, Pai: -1, Nível: -1
Vértice: 164, Pai: -1, Nível: -1
Vértice: 165, Pai: -1, Nível: -1
Vértice: 166, Pai: -1, Nível: -1
Vértice: 167, Pai: -1, Nível: -1
Vértice: 168, Pai: -1, Nível: -1
Vértice: 169, Pai: -1, Nível: -1
Vértice: 170, Pai: -1, Nível: -1
Vértice: 171, Pai: -1, Nível: -1
Vértice: 172, Pai: -1, Nível: -1
Vértice: 173, Pai: -1, Nível: -1
Vértice: 174, Pai: -1, Nível: -1
Vértice: 175, Pai: -1, Nível: -1
Vértice: 176, Pai: -1, Nível: -1
Vértice: 177, Pai: 9096, Nível: 3
Vértice: 178, Pai: -1, Nível: -1
Vértice: 179, Pai: -1, Nível: -1
Vértice: 180, Pai: -1, Nível: -1
Vértice: 181, Pai: -1, Nível: -1
Vértice: 182, Pai: -1, Nível: -1
Vértice: 183, Pai: -1, Nível: -1
Vértice: 184, Pai: -1, Nível: -1
Vértice: 185, Pai: -1, Nível: -1
Vértice: 186, Pai: -1, Nível: -1
Vértice: 187, Pai: -1, Nível: -1
Vértice: 188, Pai: -1, Nível: -1
Vértice: 189, Pai: -1, Nível: -1
Vértice: 190, Pai: -1, Nível: -1
Vértice: 191, Pai: -1, Nível: -1
Vértice: 192, Pai: -1, Nível: -1
Vértice: 193, Pai: -1, Nível: -1
Vértice: 194, Pai: -1, Nível: -1
Vértice: 195, Pai: -1, Nível: -1
Vértice: 196, Pai: -1, Nível: -1
Vértice: 197, Pai: -1, Nível: -1
Vértice: 198, Pai: -1, Nível: -1
Vértice: 199, Pai: -1, Nível: -1
Vértice: 200, Pai: 34374, Nível: 4
Vértice: 201, Pai: -1, Nível: -1
Vértice: 202, Pai: 33774, Nível: 4
Vértice: 203, Pai: -1, Nível: -1
Vértice: 204, Pai: -1, Nível: -1
Vértice: 205, Pai: -1, Nível: -1
Vértice: 206, Pai: -1, Nível: -1
Vértice: 207, Pai: -1, Nível: -1
Vértice: 208, Pai: -1, Nível: -1
Vértice: 209, Pai: 12996, Nível: 4
Vértice: 210, Pai: -1, Nível: -1
Vértice: 211, Pai: -1, Nível: -1
Vértice: 212, Pai: -1, Nível: -1
Vértice: 213, Pai: -1, Nível: -1
Vértice: 214, Pai: -1, Nível: -1
Vértice: 215, Pai: -1, Nível: -1
Vértice: 216, Pai: -1, Nível: -1
Vértice: 217, Pai: -1, Nível: -1
Vértice: 218, Pai: -1, Nível: -1
Vértice: 219, Pai: -1, Nível: -1
Vértice: 220, Pai: -1, Nível: -1
Vértice: 221, Pai: -1, Nível: -1
Vértice: 222, Pai: -1, Nível: -1
Vértice: 223, Pai: -1, Nível: -1
Vértice: 224, Pai: -1, Nível: -1
Vértice: 225, Pai: -1, Nível: -1
Vértice: 226, Pai: -1, Nível: -1
Vértice: 227, Pai: -1, Nível: -1
Vértice: 228, Pai: -1, Nível: -1
Vértice: 229, Pai: -1, Nível: -1
Vértice: 230, Pai: -1, Nível: -1
Vértice: 231, Pai: -1, Nível: -1
Vértice: 232, Pai: -1, Nível: -1
Vértice: 233, Pai: -1, Nível: -1
Vértice: 234, Pai: -1, Nível: -1
Vértice: 235, Pai: -1, Nível: -1
Vértice: 236, Pai: -1, Nível: -1
Vértice: 237, Pai: -1, Nível: -1
Vértice: 238, Pai: -1, Nível: -1
Vértice: 239, Pai: -1, Nível: -1
Vértice: 240, Pai: -1, Nível: -1
Vértice: 241, Pai: -1, Nível: -1
Vértice: 242, Pai: -1, Nível: -1
Vértice: 243, Pai: -1, Nível: -1
Vértice: 244, Pai: -1, Nível: -1
Vértice: 245, Pai: -1, Nível: -1
Vértice: 246, Pai: -1, Nível: -1
Vértice: 247, Pai: -1, Nível: -1
Vértice: 248, Pai: -1, Nível: -1
Vértice: 249, Pai: -1, Nível: -1
Vértice: 250, Pai: -1, Nível: -1
Vértice: 251, Pai: -1, Nível: -1
Vértice: 252, Pai: -1, Nível: -1
Vértice: 253, Pai: -1, Nível: -1
Vértice: 254, Pai: -1, Nível: -1
Vértice: 255, Pai: -1, Nível: -1
Vértice: 256, Pai: -1, Nível: -1
Vértice: 257, Pai: -1, Nível: -1
Vértice: 258, Pai: -1, Nível: -1
Vértice: 259, Pai: -1, Nível: -1
Vértice: 260, Pai: -1, Nível: -1
Vértice: 261, Pai: -1, Nível: -1
Vértice: 262, Pai: -1, Nível: -1
Vértice: 263, Pai: -1, Nível: -1
Vértice: 264, Pai: 15352, Nível: 2
Vértice: 265, Pai: -1, Nível: -1
Vértice: 266, Pai: -1, Nível: -1
Vértice: 267, Pai: -1, Nível: -1
Vértice: 268, Pai: -1, Nível: -1
Vértice: 269, Pai: -1, Nível: -1
Vértice: 270, Pai: -1, Nível: -1
Vértice: 271, Pai: -1, Nível: -1
Vértice: 272, Pai: -1, Nível: -1
Vértice: 273, Pai: -1, Nível: -1
Vértice: 274, Pai: -1, Nível: -1
Vértice: 275, Pai: -1, Nível: -1
Vértice: 276, Pai: -1, Nível: -1
Vértice: 277, Pai: -1, Nível: -1
Vértice: 278, Pai: 16894, Nível: 2
Vértice: 279, Pai: -1, Nível: -1
Vértice: 280, Pai: -1, Nível: -1
Vértice: 281, Pai: -1, Nível: -1
Vértice: 282, Pai: -1, Nível: -1
Vértice: 283, Pai: -1, Nível: -1
Vértice: 284, Pai: -1, Nível: -1
Vértice: 285, Pai: -1, Nível: -1
Vértice: 286, Pai: -1, Nível: -1
Vértice: 287, Pai: -1, Nível: -1
Vértice: 288, Pai: 2823, Nível: 4
Vértice: 289, Pai: -1, Nível: -1
Vértice: 290, Pai: -1, Nível: -1
Vértice: 291, Pai: -1, Nível: -1
Vértice: 292, Pai: -1, Nível: -1
Vértice: 293, Pai: -1, Nível: -1
Vértice: 294, Pai: -1, Nível: -1
Vértice: 295, Pai: -1, Nível: -1
Vértice: 296, Pai: -1, Nível: -1
Vértice: 297, Pai: -1, Nível: -1
Vértice: 298, Pai: -1, Nível: -1
Vértice: 299, Pai: -1, Nível: -1
Vértice: 300, Pai: -1, Nível: -1
Vértice: 301, Pai: -1, Nível: -1
Vértice: 302, Pai: -1, Nível: -1
Vértice: 303, Pai: -1, Nível: -1
Vértice: 304, Pai: -1, Nível: -1
Vértice: 305, Pai: -1, Nível: -1
Vértice: 306, Pai: -1, Nível: -1
Vértice: 307, Pai: -1, Nível: -1
Vértice: 308, Pai: -1, Nível: -1
Vértice: 309, Pai: -1, Nível: -1
Vértice: 310, Pai: -1, Nível: -1
Vértice: 311, Pai: -1, Nível: -1
Vértice: 312, Pai: -1, Nível: -1
Vértice: 313, Pai: -1, Nível: -1
Vértice: 314, Pai: 20077, Nível: 4
Vértice: 315, Pai: -1, Nível: -1
Vértice: 316, Pai: -1, Nível: -1
Vértice: 317, Pai: -1, Nível: -1
Vértice: 318, Pai: -1, Nível: -1
Vértice: 319, Pai: -1, Nível: -1
Vértice: 320, Pai: -1, Nível: -1
Vértice: 321, Pai: 154, Nível: 3
Vértice: 322, Pai: -1, Nível: -1
Vértice: 323, Pai: -1, Nível: -1
Vértice: 324, Pai: -1, Nível: -1
Vértice: 325, Pai: -1, Nível: -1
Vértice: 326, Pai: -1, Nível: -1
Vértice: 327, Pai: -1, Nível: -1
Vértice: 328, Pai: -1, Nível: -1
Vértice: 329, Pai: -1, Nível: -1
Vértice: 330, Pai: -1, Nível: -1
Vértice: 331, Pai: -1, Nível: -1
Vértice: 332, Pai: -1, Nível: -1
Vértice: 333, Pai: -1, Nível: -1
Vértice: 334, Pai: -1, Nível: -1
Vértice: 335, Pai: -1, Nível: -1
Vértice: 336, Pai: -1, Nível: -1
Vértice: 337, Pai: -1, Nível: -1
Vértice: 338, Pai: -1, Nível: -1
Vértice: 339, Pai: -1, Nível: -1
Vértice: 340, Pai: -1, Nível: -1
Vértice: 341, Pai: -1, Nível: -1
Vértice: 342, Pai: -1, Nível: -1
Vértice: 343, Pai: -1, Nível: -1
Vértice: 344, Pai: -1, Nível: -1
Vértice: 345, Pai: -1, Nível: -1
Vértice: 346, Pai: -1, Nível: -1
Vértice: 347, Pai: -1, Nível: -1
Vértice: 348, Pai: -1, Nível: -1
Vértice: 349, Pai: -1, Nível: -1
Vértice: 350, Pai: -1, Nível: -1
Vértice: 351, Pai: -1, Nível: -1
Vértice: 352, Pai: -1, Nível: -1
Vértice: 353, Pai: -1, Nível: -1
Vértice: 354, Pai: -1, Nível: -1
Vértice: 355, Pai: -1, Nível: -1
Vértice: 356, Pai: -1, Nível: -1
Vértice: 357, Pai: -1, Nível: -1
Vértice: 358, Pai: -1, Nível: -1
Vértice: 359, Pai: -1, Nível: -1
Vértice: 360, Pai: -1, Nível: -1
Vértice: 361, Pai: -1, Nível: -1
Vértice: 362, Pai: -1, Nível: -1
Vértice: 363, Pai: -1, Nível: -1
Vértice: 364, Pai: -1, Nível: -1
Vértice: 365, Pai: -1, Nível: -1
Vértice: 366, Pai: -1, Nível: -1
Vértice: 367, Pai: -1, Nível: -1
Vértice: 368, Pai: -1, Nível: -1
Vértice: 369, Pai: -1, Nível: -1
Vértice: 370, Pai: -1, Nível: -1
Vértice: 371, Pai: -1, Nível: -1
Vértice: 372, Pai: -1, Nível: -1
Vértice: 373, Pai: -1, Nível: -1
Vértice: 374, Pai: -1, Nível: -1
Vértice: 375, Pai: -1, Nível: -1
Vértice: 376, Pai: -1, Nível: -1
Vértice: 377, Pai: -1, Nível: -1
Vértice: 378, Pai: -1, Nível: -1
Vértice: 379, Pai: -1, Nível: -1
Vértice: 380, Pai: -1, Nível: -1
Vértice: 381, Pai: -1, Nível: -1
Vértice: 382, Pai: -1, Nível: -1
Vértice: 383, Pai: -1, Nível: -1
Vértice: 384, Pai: -1, Nível: -1
Vértice: 385, Pai: -1, Nível: -1
Vértice: 386, Pai: -1, Nível: -1
Vértice: 387, Pai: -1, Nível: -1
Vértice: 388, Pai: -1, Nível: -1
Vértice: 389, Pai: -1, Nível: -1
Vértice: 390, Pai: -1, Nível: -1
Vértice: 391, Pai: -1, Nível: -1
Vértice: 392, Pai: -1, Nível: -1
Vértice: 393, Pai: -1, Nível: -1
